ANP_ID,Codigo_SIG,ANP,PM,PM_link,FECHA,MODIFICAS,Cate_DEC_1,Cate_Man_1,Region_1,Estado,Municipio,Categoria,Zonificaci,Subzonific,nombre_1,ID,Pesca Comercial,Pesca Deportiva,Pesca,Buceo
4,1.1.06.162,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2013/BAHIA_DE_LOS_ANGELES_2013.pdf,5/11/2013,,RB,RB,Península de Baja California y Pacífico Norte,Baja California,Frente al municipio de Ensenada,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,"Puntas la Asamblea - San Francisquito y Bahías de Guadalupe, de los Ángeles y de las Animas",41,SI,SI,SI,SI
4,1.1.06.162,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2013/BAHIA_DE_LOS_ANGELES_2013.pdf,5/11/2013,,RB,RB,Península de Baja California y Pacífico Norte,Baja California,Frente al municipio de Ensenada,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,Este de la Isla Angel de la Guarda - Bahía San Rafael A,42,SI,SI,SI,SI
4,1.1.06.162,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2013/BAHIA_DE_LOS_ANGELES_2013.pdf,5/11/2013,,RB,RB,Península de Baja California y Pacífico Norte,Baja California,Frente al municipio de Ensenada,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,Puerto Refugio - Machos B,43,SI,SI,SI,SI
4,1.1.06.162,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2013/BAHIA_DE_LOS_ANGELES_2013.pdf,5/11/2013,,RB,RB,Península de Baja California y Pacífico Norte,Baja California,Frente al municipio de Ensenada,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,Costa Isla Ángel de la Guarda B,44,SI,SI,SI,SI
4,1.1.06.162,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2013/BAHIA_DE_LOS_ANGELES_2013.pdf,5/11/2013,,RB,RB,Península de Baja California y Pacífico Norte,Baja California,Frente al municipio de Ensenada,Zona de Amortiguamiento,Uso Público,Uso Público,Playas de Bahía de los Ángeles A,48,NO,SI,SI,SI
4,1.1.06.162,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2013/BAHIA_DE_LOS_ANGELES_2013.pdf,5/11/2013,,RB,RB,Península de Baja California y Pacífico Norte,Baja California,Frente al municipio de Ensenada,Zona de Amortiguamiento,Uso Público,Uso Público,Playas de Bahía de los Ángeles B,49,NO,SI,SI,SI
4,1.1.06.162,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2013/BAHIA_DE_LOS_ANGELES_2013.pdf,5/11/2013,,RB,RB,Península de Baja California y Pacífico Norte,Baja California,Frente al municipio de Ensenada,Zona de Amortiguamiento,Uso Público,Uso Público,El Pescador - El Torzón A,50,NO,NO,NO,SI
4,1.1.06.162,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2013/BAHIA_DE_LOS_ANGELES_2013.pdf,5/11/2013,,RB,RB,Península de Baja California y Pacífico Norte,Baja California,Frente al municipio de Ensenada,Zona de Amortiguamiento,Uso Público,Uso Público,Tiburón Ballena 1,51,NO,SI,SI,SI
4,1.1.06.162,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2013/BAHIA_DE_LOS_ANGELES_2013.pdf,5/11/2013,,RB,RB,Península de Baja California y Pacífico Norte,Baja California,Frente al municipio de Ensenada,Zona de Amortiguamiento,Uso Público,Uso Público,El pescador - El Torzón B,52,NO,NO,NO,SI
4,1.1.06.162,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2013/BAHIA_DE_LOS_ANGELES_2013.pdf,5/11/2013,,RB,RB,Península de Baja California y Pacífico Norte,Baja California,Frente al municipio de Ensenada,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,Este de la Isla Angel de la Guarda - Bahía San Rafael B,53,SI,SI,SI,SI
4,1.1.06.162,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2013/BAHIA_DE_LOS_ANGELES_2013.pdf,5/11/2013,,RB,RB,Península de Baja California y Pacífico Norte,Baja California,Frente al municipio de Ensenada,Zona Núcleo,Uso Restringido,Uso Restringido,"Campo Polilla, Esteros de las Cahuamas Este y Oeste A",45,NO,NO,NO,SI
4,1.1.06.162,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2013/BAHIA_DE_LOS_ANGELES_2013.pdf,5/11/2013,,RB,RB,Península de Baja California y Pacífico Norte,Baja California,Frente al municipio de Ensenada,Zona Núcleo,Uso Restringido,Uso Restringido,"Campo Polilla, Esteros de las Cahuamas Este y Oeste B",46,NO,NO,NO,SI
4,1.1.06.162,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2013/BAHIA_DE_LOS_ANGELES_2013.pdf,5/11/2013,,RB,RB,Península de Baja California y Pacífico Norte,Baja California,Frente al municipio de Ensenada,Zona Núcleo,Uso Restringido,Uso Restringido,"Campo Polilla, Esteros de las Cahuamas Este y Oeste C",47,NO,NO,NO,SI
4,1.1.06.162,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2013/BAHIA_DE_LOS_ANGELES_2013.pdf,5/11/2013,,RB,RB,Península de Baja California y Pacífico Norte,Baja California,Frente al municipio de Ensenada,Zona Núcleo,Uso Restringido,Uso Restringido,Estero La Mona,272,NO,NO,NO,SI
4,1.1.06.162,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2013/BAHIA_DE_LOS_ANGELES_2013.pdf,5/11/2013,,RB,RB,Península de Baja California y Pacífico Norte,Baja California,Frente al municipio de Ensenada,Zona Núcleo,Uso Restringido,Uso Restringido,Ensenada Los Choros,273,NO,NO,NO,SI
4,1.1.06.162,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2013/BAHIA_DE_LOS_ANGELES_2013.pdf,5/11/2013,,RB,RB,Península de Baja California y Pacífico Norte,Baja California,Frente al municipio de Ensenada,Zona Núcleo,Zona de Protección,Subzona de Protección,Estero San Rafael,274,NO,NO,NO,SI
6,1.1.02.094,El Vizcaíno,SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/AVISOvizcaino.pdf,1/9/2000,,RB,RB,Península de Baja California y Pacífico Norte,Baja California y Baja California Sur,Baja California: Ensenada; Baja California Sur: Mulegé y Comondú,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,Desierto El Vizcaíno,165,NO,NO,NO,ND
6,1.1.02.094,El Vizcaíno,SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/AVISOvizcaino.pdf,1/9/2000,,RB,RB,Península de Baja California y Pacífico Norte,Baja California y Baja California Sur,Baja California: Ensenada; Baja California Sur: Mulegé y Comondú,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,SASRN 1,166,ND,ND,SI,ND
6,1.1.02.094,El Vizcaíno,SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/AVISOvizcaino.pdf,1/9/2000,,RB,RB,Península de Baja California y Pacífico Norte,Baja California y Baja California Sur,Baja California: Ensenada; Baja California Sur: Mulegé y Comondú,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,SASRN 2,167,ND,ND,SI,ND
6,1.1.02.094,El Vizcaíno,SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/AVISOvizcaino.pdf,1/9/2000,,RB,RB,Península de Baja California y Pacífico Norte,Baja California y Baja California Sur,Baja California: Ensenada; Baja California Sur: Mulegé y Comondú,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,SASRN 3,168,ND,ND,SI,ND
6,1.1.02.094,El Vizcaíno,SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/AVISOvizcaino.pdf,1/9/2000,,RB,RB,Península de Baja California y Pacífico Norte,Baja California y Baja California Sur,Baja California: Ensenada; Baja California Sur: Mulegé y Comondú,Zona de Amortiguamiento,Sitio de Patrimonio Mundial Natural,Sitio de Patrimonio Mundial Natural,Laguna Ojo de Liebre,169,ND,ND,SI,ND
6,1.1.02.094,El Vizcaíno,SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/AVISOvizcaino.pdf,1/9/2000,,RB,RB,Península de Baja California y Pacífico Norte,Baja California y Baja California Sur,Baja California: Ensenada; Baja California Sur: Mulegé y Comondú,Zona de Amortiguamiento,Uso Restringido,Uso Restringido,Sierra San José de Castro,170,ND,ND,SI,ND
6,1.1.02.094,El Vizcaíno,SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/AVISOvizcaino.pdf,1/9/2000,,RB,RB,Península de Baja California y Pacífico Norte,Baja California y Baja California Sur,Baja California: Ensenada; Baja California Sur: Mulegé y Comondú,Zona de Amortiguamiento,Sitio de Patrimonio Mundial Natural,Sitio de Patrimonio Mundial Natural,Laguna San Ignacio,171,ND,ND,SI,ND
6,1.1.02.094,El Vizcaíno,SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/AVISOvizcaino.pdf,1/9/2000,,RB,RB,Península de Baja California y Pacífico Norte,Baja California y Baja California Sur,Baja California: Ensenada; Baja California Sur: Mulegé y Comondú,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,SASRN 4,174,ND,ND,SI,ND
6,1.1.02.094,El Vizcaíno,SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/AVISOvizcaino.pdf,1/9/2000,,RB,RB,Península de Baja California y Pacífico Norte,Baja California y Baja California Sur,Baja California: Ensenada; Baja California Sur: Mulegé y Comondú,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,SASRN 5,175,ND,ND,SI,ND
6,1.1.02.094,El Vizcaíno,SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/AVISOvizcaino.pdf,1/9/2000,,RB,RB,Península de Baja California y Pacífico Norte,Baja California y Baja California Sur,Baja California: Ensenada; Baja California Sur: Mulegé y Comondú,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,SASRN 6,177,ND,ND,SI,ND
6,1.1.02.094,El Vizcaíno,SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/AVISOvizcaino.pdf,1/9/2000,,RB,RB,Península de Baja California y Pacífico Norte,Baja California y Baja California Sur,Baja California: Ensenada; Baja California Sur: Mulegé y Comondú,Zona Núcleo,Zona Núcleo,Zona Núcleo,Isla San Roque,172,NO,NO,NO,ND
6,1.1.02.094,El Vizcaíno,SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/AVISOvizcaino.pdf,1/9/2000,,RB,RB,Península de Baja California y Pacífico Norte,Baja California y Baja California Sur,Baja California: Ensenada; Baja California Sur: Mulegé y Comondú,Zona Núcleo,Zona Núcleo,Zona Núcleo,Isla Asunción,173,NO,NO,NO,ND
6,1.1.02.094,El Vizcaíno,SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/AVISOvizcaino.pdf,1/9/2000,,RB,RB,Península de Baja California y Pacífico Norte,Baja California y Baja California Sur,Baja California: Ensenada; Baja California Sur: Mulegé y Comondú,Zona Núcleo,Zona Núcleo,Zona Núcleo,Islas de la Laguna San Ignacio 4,176,NO,NO,NO,ND
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Uso Tradicional,Uso Tradicional Marina I,Este Coronados,136,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Uso Tradicional,Uso Tradicional Marina I,La Islita,137,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Uso Tradicional,Uso Tradicional Marina I,Bajo de la Choya,138,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Uso Tradicional,Uso Tradicional Marina I,Punta Tintorera,139,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Uso Tradicional,Uso Tradicional Marina I,Puerto La Vaca,140,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Uso Tradicional,Uso Tradicional Marina I,Norte Bahía Márquez,141,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Uso Tradicional,Uso Tradicional Marina I,Punta Perico,142,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Uso Tradicional,Uso Tradicional Marina I,Punta Baja,143,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Uso Tradicional,Uso Tradicional Marina I,Isla Danzante,144,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Uso Tradicional,Uso Tradicional Marina I,Islote Blanco,145,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Uso Tradicional,Uso Tradicional Marina I,Las Islitas (Danzante),146,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Uso Tradicional,Uso Tradicional Marina I,Islotes Los Candeleros,147,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Uso Tradicional,Uso Tradicional Marina I,Islote Las Tijeras,148,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Uso Tradicional,Uso Tradicional Marina I,Islote Pardo,149,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Uso Tradicional,Uso Tradicional Marina I,Bajo el Cochi,150,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Uso Tradicional,Uso Tradicional Marina I,Punta Cuervitos-Faro,151,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Uso Tradicional,Uso Tradicional Marina II,Punta Raza,152,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Uso Tradicional,Uso Tradicional Marina II,Palo Parado,153,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Uso Tradicional,Uso Tradicional Marina III,Canal de Ballenas,154,NO,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales Marina I,Bahia Loreto I,155,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales Marina I,Bahia Loreto II,156,SI,SI,SI,SI
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Zona de Preservación,Subzona de Preservación Marina y Humedales,Estero de Bahía Balandra,383,NO,NO,NO,NO
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Zona de Preservación,Subzona de Preservación Marina y Humedales,Piedra de La Choya,384,NO,NO,NO,NO
7,1.3.04.122,Bahía de Loreto,SI,https://www.conanp.gob.mx/programademanejo/resumenes/ResumenBahiaDeLoreto.pdf,23/04/2019,,PMN,PN,Península de Baja California y Pacífico Norte,Baja California Sur,Frente a las costas del municipio de Loreto,Zona de Amortiguamiento,Zona de Preservación,Subzona de Preservación Marina y Humedales,Punta Lobos (Isla Carmen),385,NO,NO,NO,NO
