company_na,state,region,lat,long,address,phone,email,locality,avg_ope_da,weeks,avg_client,number_yea,avg_cost_d,gross_rev_,avg_cost_s,gross_re_1,avg_operat,net_rev_sc,net_rev_sn,owner_nati,operationa,type_of_bu,n_of_store,employees,diving_imp,certificat,trip_price,trip_pri_1,n_boats,boat_capac,site_healt,conservati,mpa_suppor,fishing,fishing_im,involvemen,interest_j
BLUE_NATION_BAJA,BAJA CALIFORNIA SUR,Northwest Mexico,26.009735,-111.345159,"Avenida Salvatierra, adentro de la Plaza Mision Loreto, Centro, 23880 Loreto, B.C.S.",044 613 124 0607,bluetionbaja@gmail.com,LORETO,6.166666667,52,18.75,6012.5,135,306637.5,75,260541.6667,63,113455.875,96400.41667,MEXICAN-SPANISH,2,Family business,1,3,8,"NAUI, PADI, GUE, IANTD, DAN",135,75,1,8,0,10,10,Yes,8,10,10
BLUE_NOTE,QUINTANA ROO,Yucatan Peninsula,20.509223,-86.937208,"Avenida 50 entre calle 12 y 14, #625, Cozumel, Q. Roo",(987) 8720312,info@bluenotescuba.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUELIFE,QUINTANA ROO,Yucatan Peninsula,20.63519,-87.063096,"Corner of Calle 40 and Calle Flamingo, one block from the beach Playa del Carmen, Mexico",(984) 5932226,info @ bluelife.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOCA_DIVERS,JALISCO,Northwest Mexico,20.512851,-105.314607,"Calle Pelicanos 518, Boca de Tomatl�n, Jal.",01 322 228 0713,bocadivers@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUCANERO_DEL_CARIBE,QUINTANA ROO,Yucatan Peninsula,18.718331,-87.707148,"Av. Huachinango entre pargo y sierra Mahahual Q.R., M�xico",( 52) 983 120 53 06,bucanero@divemahahual.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUCEA_BAJA_NORTE,BAJA CALIFORNIA,Northwest Mexico,32.523512,-117.03264,"Av. Miguel Negrete 2183, Zona Centro, 22000 Tijuana, B.C.",01 664 110 1349,info @buceobajanorte.com,TIJUANA,3,52,7.083333333,1105,80,88400,40,441.9999979,63,32708,163.5399992,MEXICAN,2,Family business,1,5,10,PADI,100,65,0,10,3,10,10,Yes,8,10,10
BUCEANDO_MAHAHUAL,QUINTANA ROO,Yucatan Peninsula,18.719577,-87.706309,"Malecon de Mahahual  entre pargo y rubia. Q.R, M�xico",9840000000,info@buceandomahahual.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUCEO_CAREY,BAJA CALIFORNIA SUR,Northwest Mexico,24.1545561,-110.3253268,"Topete 3040, El Manglito, Barrio Manglito, 23060 La Paz, Baja California Sur, Mexico (From GoogleMaps)","52 612 123 2333, 52 612 128 4048, 52 612 157 3177",info@buceocarey.com,LA_PAZ,7,52,104.1666667,37916.66667,150,3981250,90,1023750,63,1473062.5,378787.5,MEXICAN,27,Family business,1,10,8,SNSI,700,90,3,10,0,10,10,Yes,8,10,10
BUCEO_HUATULCO,OAXACA,Mexican Pacific,15.767336,-96.138312,"Ocotillo 206, H, 70987 Crucecita, Oax.",01 958 105 1361,hoy.bucea@gmail.com,HUATULCO,7,52,11.25,4095,100,368550,22,4504.5,66.27,124311.915,1519.36785,MEXICAN,9,Family business,1,3,10,PADI,100,22,1,5,5,10,10,Yes,3,10,10
BUCEO_XTABAY,QUINTANA ROO,Yucatan Peninsula,20.861243,-86.900818,"Trasatlantico Mz 25 Lote 10,  Villas Morelos 1 Puerto Morelos, Q.Roo",(998) 2089132,buceoxtabay@gmail.com,PUERTO_MORELOS,7,52,33.75,12285,120,1326780,55,67567.5,72,371498.4,18918.9,MEXICAN,11,Family business,1,4,10,NAUI,120,55,2,12,4,10,10,Yes,5,10,10
BUCEOS_TOTO,BAJA CALIFORNIA SUR,Northwest Mexico,24.1598427,-110.3157924,Guerrero N�m. 213 e/Revoluci�n y  Aquiles Serd�n Col. Esterito (From Government Data),12 2-71-54,"earmenta@hotmail.com, eskualo@homail.com",LA_PAZ,7,52,13.75,5005,150,150150,90,90090,63,55555.5,33333.3,MEXICAN,40,Family business,1,3,10,SDS,150,70,3,8,2,10,10,Yes,8,10,10
CABALLEROS_DEL_MAR,JALISCO,Northwest Mexico,20.682037,-103.343212,"Calle Joaqu�n Angulo 48, Centro Barranquitas, 44100 Guadalajara, Jal.",3334470000,caballerosdelmar@yahoo.com,GUADALAJARA,6,52,49.58333333,15470,250,3480750,125,193375,63,1287877.5,71548.75,MEXICAN,38,Family business,1,1,10,"NAUI, PADI, CMAS",250,125,,,5,10,0,Yes,9,10,10
CABALLITOS_DEL_CARIBE,QUINTANA ROO,Yucatan Peninsula,20.511341,-86.949082,"5th Ave. South entre calle 3 y 5, Centro 77600 Cozumel Q.Roo",(987) 8721449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CABO_ADVENTURES,BAJA CALIFORNIA SUR,Northwest Mexico,22.878576,-109.9128055,"Bldv. Paseo de la Marina (Esquina Malecon), Lote 7-A, Cabo San Lucas, Mexico CP 23410 (From Operator Website)","011 52 322 226 8413, 1 888 526 2238",info@cabo-adventures.com,CABO_SAN_LUCAS,7,52,5000,1820000,139,12649000,89,32396000,63,4680130,11986520,MEXICAN,12,Large sized business owned by with 2 or more people,6,100,4,PADI,139,89,9,24,7,10,10,Yes,7,10,10
CABO_DEEP_BLUE,BAJA CALIFORNIA SUR,Northwest Mexico,22.8808351,-109.913951,"Blvd. Paseo de la Marina 17, Centro, Marina, 23450 Cabo San Lucas, B.C.S.","52 624 143 7668, 52 624 147 5202",,CABO_SAN_LUCAS,7,52,25,9100,100,819000,65.67,59759.7,63,303030,22111.089,MEXICAN,19,Family business,1,2,10,PADI,100,0,2,10,0,10,10,No,0,10,10
CABO_DIVERS,BAJA CALIFORNIA SUR,Northwest Mexico,22.8815889,-109.9127597,"Dock L-M-N, Marina, 23450 Cabo San Lucas, B.C.S., Mexico (From GoogleMaps)",52 624 178 5008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CABO_EXPEDITIONS,BAJA CALIFORNIA SUR,Northwest Mexico,22.881802,-109.911694,"Blvd. Marina s/n, Plaza de la Danza Local 6, Centro, 23450 Cabo San Lucas, B.C.S., Mexico (From Google Maps)","011 52 624 143 2700, 001 619 752 2294",info@caboexpeditions.com.mx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CABO_PULMO_BEACH_RESORT,BAJA CALIFORNIA SUR,Northwest Mexico,23.4448093,-109.4565792,"Conocido Cabo Pulmo, 23574 Cabo Pulmo Baja Sur California (From Operator Facebook Page)Coordinates from GoogleMaps ""Cabo Pulmo Beach Resort""","01152 624 141 0726, 562 366 0398, 562 366 0722","tours@cabopulmo.com, diving@cabopulmo.com, info@cabopulmo.com",CABO_PULMO,7,52,23.33333333,8493.333333,104.5833333,799435,62.91666667,26718.61112,63,295790.95,9885.886114,UNITED STATES,20,Large sized business owned by one person,1,25,10,PADI,100,65,5,5,0,10,10,Yes,1,10,10
CABO_PULMO_DIVERS,BAJA CALIFORNIA SUR,Northwest Mexico,23.3398796,-109.4994946,"Acceso principal a la playa, Cabo Pulmo BCS C.P.23570",612 157 3381,cabopulmodivers@yahoo.com,CABO_PULMO,7,52,22.08333333,8038.333333,135,976657.5,55,22105.41667,63,361363.275,8179.004169,MEXICAN,29,Family business,1,8,10,PADI,135,55,5,8,0,10,10,Yes,7,10,10
CABO_PULMO_SPORT_CENTER,BAJA CALIFORNIA SUR,Northwest Mexico,23.4370987,-109.42713,"Acceso a la playa de Cabo Pulmo/ Cabo Pulmo B.C.S. Coordinates are from GoogleMaps ""Cabo Pulmo Sports Center Bungalows""","01152 624 157 9795, 01152 624 158 8981","cabopulmosportcenter@gmail.com, info@cabopulmosportcenter.com",CABO_PULMO,7,52,245.8333333,89483.33333,100,2047500,55,2652650,63,757575,981480.5,MEXICAN,19,Family business,2,10,5,PADI,100,55,8,10,2,10,10,Yes,0,10,10
CABO_PULMO_WATER_SPORTS,BAJA CALIFORNIA SUR,Northwest Mexico,23.4367201,-109.4339294,Driving directions: The Pulmo is the first population center you meet on the dirt road. Stop here (From Operator Webstite) Coordinates from GoogleMaps,01152 624 176 2618,Info@cabopulmowatersports.com,CABO_PULMO,7,52,68.75,25025,145,2155183.333,50,508083.3333,63,797417.8333,187990.8333,MEXICAN,10,Medium sized business,1,8,10,PADI,145,50,4,6,0,10,10,Yes,4,10,10
CABO_SHARK_DIVE,BAJA CALIFORNIA SUR,Northwest Mexico,22.884782,-109.911126,"Lote A18 de la Darsena BCS | Slip F12, Cabo San Lucas, Mexico (From TripAdvisor)",1 866 261 3872,info@cabosharkdive.com,CABO_SAN_LUCAS,7,52,35.41666667,12891.66667,190,489883.3333,110,1134466.667,63,181256.8333,419752.6667,ITALIAN,4,Family business,1,5,2,PADI,190,110,0,0,0,10,10,Yes,4,10,8
CABO_TREK,BAJA CALIFORNIA SUR,Northwest Mexico,22.8805819,-109.9140277,"Boulevard Paseo de La Marina S/N, Local C-2, Colonia Centro, Wyndham Hotel, 23450 Cabo San Lucas, B.C.S., Mexico (From Google Maps)","01152 624 123 1477, 01 844 851 9842, 01152 624 143 6242, 01152 624 174 3160",info@cabotrek.com,CABO_SAN_LUCAS,7,52,120.8333333,43983.33333,135,1335993.75,55,846679.1667,63,494317.6875,313271.2917,AUSTRIAN,5,Family business,1,4,6,PADI,135,55,2,14,6,10,10,Yes,10,10,10
CANCUN_SCUBA_CENTER,QUINTANA ROO,Yucatan Peninsula,21.140109,-86.769907,"Blvd. Kukulcan, Km 6.5, Zona Hotelera, 77500 Canc�n, Q.R.",998 8450977,operations@cancunscubacenter.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAREY_DIVE_CENTER,QUINTANA ROO,Yucatan Peninsula,21.257681,-86.748466,"Av. Matamoros 13-A, Isla Mujeres, Centro-Supmza 001, 77400",998 877 0763,info@careydivecenter.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARIBBEAN_DIVERS,QUINTANA ROO,Yucatan Peninsula,20.508264,-86.950864,5 Ave. #265 esq 3 Sur. One block from the Ocean Front Cozumel Q. Roo,(987) 8721145,m.me/cozumeldivingcenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARLO_SCUBA,GUERRERO,Mexican Pacific,17.620983,-101.551246,"Playa las Gatas, 40880 Zihuatanejo, Gro.",01 755 115 1779,carloscuba@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASA_DEL_BUCEO,QUINTANA ROO,Yucatan Peninsula,21.23885,-86.739212,"Calle Pescadores S/N, Colonia electricistas, 77400 Isla Mujeres, Q.R.",998 274 7000,info@casadelbuceo.com,ISLA_MUJERES,7,52,40.41666667,14711.66667,90,936390,45,193830,72,262189.2,54272.4,MEXICAN,30,Family business,1,10,10,PADI,90,45,3,14,2,10,10,Yes,10,7,10
CENOTE_DIVE_CENTER,QUINTANA ROO,Yucatan Peninsula,20.211102,-87.459063,"Andromeda Ote and Centauro Sur, Tulum Q. Roo",(984) 8712232,info@cenotedive.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENOTEXPERIENCE,QUINTANA ROO,Yucatan Peninsula,20.635791,-87.07002,"Calle 34 Nte, esquina Avenida 20, local 4 Tohoku, Gonzalo Guerrero 77720 Playa del Carmen, Q.R.",(984) 1474442,info@cenotexperience.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRO_DE_BUCEO_SOTAVENTO_SA_DE_CV,OAXACA,Mexican Pacific,15.76436,-96.138714,"Flanmboyan 310, La Crucecita, 70989 Santa Mar�a Huatulco, Oaxaca",044 958 110 0082,sebastian@oceanoadventures.com,HUATULCO,7,52,7.916666667,2881.666667,100,230533.3333,35,20171.66666,66.27,77758.89333,6803.903165,MEXICAN,30,Family business,1,2,8,FMAS,100,35,1,7,1,10,10,Yes,1,10,10
CHICOS_DIVE_SHOP,JALISCO,Northwest Mexico,20.613009,-105.233567,"Paseo D�az Ordaz 772, Centro, 48300 Puerto Vallarta, Jal.",01 322 222 1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIRJARO_TOURS,BAJA CALIFORNIA SUR,Northwest Mexico,22.898449,-109.955464,PASEO PACIFICO MANZANA 2 LOTE 1 LOCAL 3,6241580000,CIRJARO@OUTLOOK.COM,CABO_SAN_LUCAS,7,52,191.6666667,69766.66667,130,2227983.333,80,1674400,63,824353.8333,619528,MEXICAN,2,Family business,1,3,10,"PADI, CMAS",130,80,1,13,0,10,10,Yes,2,10,10
CLUB_CANTAMAR,BAJA CALIFORNIA SUR,Northwest Mexico,24.279128,-110.3315021,"Alvaro Obreg�n N�m.  1665 - 2  Col. Centro C.P. 23000, La Paz.","12 2-18-26, 12 2-70-10",info@clubcantamar.com,LA_PAZ,7,52,199.1666667,72496.66667,150,3806075,90,3588585,63,1408247.75,1327776.45,MEXICAN,36,Family business,1,60,10,"PADI, SSI",150,60,9,35,4,10,10,Yes,10,10,10
CORTEZ_CLUB,BAJA CALIFORNIA SUR,Northwest Mexico,24.203642,-110.300356,"Km. 5, Carretera a Pichilingue, 23010 La Paz, B.C.S.",52 612 121 6120,info@cortezclub.com,LA_PAZ,7,52,120.8333333,43983.33333,150,2639000,100,2639000,63,976430,976430,MEXICAN,23,Medium sized business,1,20,10,PADI,150,100,14,8,7,10,10,Yes,10,5,10
CORTEZ_EXPEDITIONS,BAJA CALIFORNIA SUR,Northwest Mexico,24.1455064,-110.3419177,"Brecha California 670, 23090 La Paz, Baja California Sur (From Operator Facebook Page)",52 1 612 348 9234,info@cortezexpeditions.com,LA_PAZ,5,52,10,2600,200,364000,100,78000,63,134680,28860,MEXICAN-BRITISH,5,Family business,1,8,10,"PADI, EFR, TDI, IANTD, DAN",200,100,1,4,0,10,10,Yes,8,10,9
COSTA_MAYA_ADVENTOURS,QUINTANA ROO,Yucatan Peninsula,18.723952,-87.70139,"Av. Mahahual s/n, Mahahual Costa Maya Q.R M�xico",(984) 1163316,info@costamayaadventours.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COZUMEL_MARINE_WORLD,QUINTANA ROO,Yucatan Peninsula,20.483035,-86.97189,"Carretera Chankanaab Km. 4 Local 2 Zona Hotelera, Centro, 77600 San Miguel de Cozumel, Q.R.",(997) 1035690,alex@cozumelmarineworld.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COZUMEL_SPORTS,QUINTANA ROO,Yucatan Peninsula,20.467242,-86.979698,"Marina Cozumel. Carretera Costera Sur Km. 6.5 Zona Hotelera Sur, 77600 Q.R.",(987) 8726726,eduardo@cozumelsports.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEEP_BLUE,QUINTANA ROO,Yucatan Peninsula,20.507894,-86.949764,"Adolfo Rosado Salas #200 Cozumel, Q. Roo Mexico 77600",(987) 8725653,scuba@deepbluecozumel.com,COZUMEL,7,52,125,45500,85,3480750,65,295750,72,974610,82810,MEXICAN,24,Medium sized business,1,14,10,PADI,85,65,3,7,7,10,10,Yes,10,10,9
